;0;15;30;45;60;75;90
0;129;129;129;129;129;129;129
2,5;129;129;130;129;129;129;129
5;129;130;130;129;129;129;129
7,5;129;129;129;129;129;128;128
10;129;129;129;128;128;127;127
12,5;129;129;129;128;127;125;125
15;129;129;129;127;125;124;124
17,5;128;129;128;125;124;122;122
20;128;128;127;124;122;120;119
22,5;127;127;125;122;119;117;116
25;127;126;124;120;117;115;113
27,5;126;126;123;118;114;111;110
30;125;125;122;116;111;107;106
32,5;125;124;120;114;108;104;102
35;124;123;119;112;105;100;97
37,5;124;122;117;109;102;96;94
40;123;121;116;107;98;92;89
42,5;122;120;114;104;95;87;84
45;121;119;112;101;91;82;79
47,5;120;118;110;98;87;78;74
50;118;116;108;95;83;73;69
52,5;117;115;106;93;78;68;63
55;116;113;104;89;74;63;58
57,5;115;112;102;86;70;58;52
60;113;110;100;84;66;52;47
62,5;112;109;98;81;62;47;42
65;111;107;96;78;59;43;37
67,5;109;106;94;75;53;38;32
70;108;105;92;73;51;34;27
72,5;107;104;91;70;48;30;22
75;106;102;89;68;45;26;18
77,5;105;101;87;66;43;23;14
80;105;101;86;65;40;20;10
82,5;104;99;85;63;38;17;7
85;102;98;83;61;36;15;4
87,5;101;97;82;59;34;14;2
90;99;95;80;58;33;12;2
92,5;98;93;78;57;32;11;0
95;96;92;77;54;31;11;0
97,5;95;90;76;54;30;10;0
100;93;89;75;53;29;10;0
102,5;92;88;73;52;28;10;0
105;90;87;73;51;28;10;0
107,5;89;85;72;50;27;11;0
110;88;84;71;49;27;11;0
112,5;87;83;70;48;26;10;0
115;86;82;68;46;26;10;0
117,5;84;80;66;45;25;10;0
120;82;78;64;44;25;9;0
122,5;79;75;62;42;24;9;0
125;76;72;59;40;23;9;0
127,5;73;69;20;38;22;8;0
130;69;65;52;36;20;8;0
132,5;65;61;49;34;18;8;0
135;60;55;45;32;17;8;0
137,5;54;51;42;29;15;7;0
140;50;47;38;25;14;7;0
142,5;0;0;0;0;0;0;0
145;0;0;0;0;0;0;0
147,5;0;0;0;0;0;0;0
150;0;0;0;0;0;0;0
152,5;0;0;0;0;0;0;0
155;0;0;0;0;0;0;0
157,5;0;0;0;0;0;0;0
160;0;0;0;0;0;0;0
162,5;0;0;0;0;0;0;0
165;0;0;0;0;0;0;0
167,5;0;0;0;0;0;0;0
170;0;0;0;0;0;0;0
172,5;0;0;0;0;0;0;0
175;0;0;0;0;0;0;0
177,5;0;0;0;0;0;0;0
180;0;0;0;0;0;0;0
