,0,30,60,90
0,244.1,244.1,244.1,244.1
5,247.6,244.9,242.6,242.8
10,248.4,244.5,239.3,238.9
15,255.5,247.1,235.3,232.3
20,259.9,249.1,230.3,223.2
25,251.1,243.1,225.2,212.4
30,265.3,239.6,219.4,200.4
35,242.1,230.6,208.9,183.9
40,180.2,189.4,177.3,152.4
45,114.4,142.3,128.1,99.5
50,69.8,91.4,75.6,50
55,31,43.6,29.4,14.1
60,5.3,19.8,6.2,2.4
65,2.6,5.8,2.2,1.8
70,2.1,2.3,1.6,1.4
75,1.8,1.6,1.5,1
80,1.6,1.5,1.3,0.9
85,1.4,1.2,1.2,0.8
90,1.2,1.1,1.2,0.8
95,2.1,3.7,9.2,5.4
100,12.2,20.2,27.1,12.9
105,31.6,42,42.3,22.1
110,55.3,60.1,55,32.3
115,71.7,76.1,64.6,43.1
120,87.2,89.8,74.1,54.1
125,101,98.7,83.5,64.8
130,109.4,105.4,92.5,75.4
135,114.4,111.8,100.8,85.4
140,120.7,118.3,109.5,94.7
145,125.1,123.5,116.4,103.1
150,129.7,128.9,122.4,110.8
155,133.5,134.5,127.8,117.6
160,137.9,138,131.6,123.1
165,140.2,139.5,133.1,127.4
170,139.3,138.9,133.5,130.6
175,137.2,136.2,133.1,132.6
180,133.1,133.1,133.1,133.1
